,Names,Prices,Ratings,images,Links
0,"SAMSUNG Galaxy F06 5G (Bahama Blue, 128 GB)","₹11,499",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/8/b/-original-imah9cbfu7g6wzx3.jpeg?q=70,https://www.flipkart.com//samsung-galaxy-f06-5g-bahama-blue-128-gb/p/itm9acd4c5748761?pid=MOBH9AS4DSSQECZM&lid=LSTMOBH9AS4DSSQECZMNC3LC0&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_zxrz3C_k2qWH85TMfnsZrt4CAd7cWBxn_ExZ7HK4RO1EtJvE3jyTKkKOUhbghsG9_ttDhVNlNrHMKuvoQk5hTPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ou0oh6sr680000001740158326153&qH=0258c7d48242959a
1,"SAMSUNG Galaxy F05 (Twilight Blue, 64 GB)","₹6,299",3.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/r/f/-original-imah56hkgehywn5b.jpeg?q=70,https://www.flipkart.com//samsung-galaxy-f05-twilight-blue-64-gb/p/itm84a914081ab93?pid=MOBH4GTXZ9ZRQ3SU&lid=LSTMOBH4GTXZ9ZRQ3SUTOKMZJ&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=727bd346-5627-4afa-8adf-178f26fed732.MOBH4GTXZ9ZRQ3SU.SEARCH&ppt=None&ppn=None&ssid=ou0oh6sr680000001740158326153&qH=0258c7d48242959a
2,SAMSUNG SM 1207,₹999,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/h/f/keystone2-gt-e1207y-samsung-original-imah4zay2wh5x9rm.jpeg?q=70,https://www.flipkart.com//samsung-sm-1207/p/itmb6a3ac1337b58?pid=MOBH4QJF99FPAPGV&lid=LSTMOBH4QJF99FPAPGV2C2VKC&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=727bd346-5627-4afa-8adf-178f26fed732.MOBH4QJF99FPAPGV.SEARCH&ppt=None&ppn=None&ssid=ou0oh6sr680000001740158326153&qH=0258c7d48242959a
3,"SAMSUNG Galaxy A05 (Light Green, 128 GB)","₹8,167",3.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/p/i/galaxy-a05-sm-a055flgdins-samsung-original-imagvvwkjfrnhsy5.jpeg?q=70,https://www.flipkart.com//samsung-galaxy-a05-light-green-128-gb/p/itmf37d39ccf9aea?pid=MOBGTZ6W2WVQBGSB&lid=LSTMOBGTZ6W2WVQBGSBAZXKSA&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=727bd346-5627-4afa-8adf-178f26fed732.MOBGTZ6W2WVQBGSB.SEARCH&ppt=None&ppn=None&ssid=ou0oh6sr680000001740158326153&qH=0258c7d48242959a
4,SAMSUNG Metro 313,"₹1,200",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/6/s/metro-313-sm-b313edb-samsung-original-imah5xsewypuhzdx.jpeg?q=70,https://www.flipkart.com//samsung-metro-313/p/itmb9bbd1be2d656?pid=MOBH3Z76KFZ5TFEZ&lid=LSTMOBH3Z76KFZ5TFEZQ4C4LL&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=727bd346-5627-4afa-8adf-178f26fed732.MOBH3Z76KFZ5TFEZ.SEARCH&ppt=None&ppn=None&ssid=ou0oh6sr680000001740158326153&qH=0258c7d48242959a
5,"SAMSUNG Galaxy M14 4G (Arctic Blue, 64 GB)","₹8,849",3.0,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/p/f/galaxy-m14-4g-sm-m145f-ds-samsung-original-imah2hupupcwggdq.jpeg?q=70,https://www.flipkart.com//samsung-galaxy-m14-4g-arctic-blue-64-gb/p/itm3193199adbbec?pid=MOBGYYZJ8ZUBWGJH&lid=LSTMOBGYYZJ8ZUBWGJHEY7AUQ&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=727bd346-5627-4afa-8adf-178f26fed732.MOBGYYZJ8ZUBWGJH.SEARCH&ppt=None&ppn=None&ssid=ou0oh6sr680000001740158326153&qH=0258c7d48242959a
6,SAMSUNG Guru Music 2 B310ED,"₹1,649",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/g/x/guru-music-2-b310ed-guru-music-2-samsung-original-imah8h5uyz8rkegz.jpeg?q=70,https://www.flipkart.com//samsung-guru-music-2-b310ed/p/itm2c9ea56f8959f?pid=MOBH88FXTN7H6H9F&lid=LSTMOBH88FXTN7H6H9FSE2BGE&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=727bd346-5627-4afa-8adf-178f26fed732.MOBH88FXTN7H6H9F.SEARCH&ppt=None&ppn=None&ssid=ou0oh6sr680000001740158326153&qH=0258c7d48242959a
7,"SAMSUNG Galaxy A05 (Silver, 128 GB)","₹8,044",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/k/z/galaxy-a05-sm-a055fzsdins-samsung-original-imagvvwmswfznsgy.jpeg?q=70,https://www.flipkart.com//samsung-galaxy-a05-silver-128-gb/p/itmcd3bdb7a8657e?pid=MOBGTZ6WEC7C9ZBE&lid=LSTMOBGTZ6WEC7C9ZBEQRPK8A&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=727bd346-5627-4afa-8adf-178f26fed732.MOBGTZ6WEC7C9ZBE.SEARCH&ppt=None&ppn=None&ssid=ou0oh6sr680000001740158326153&qH=0258c7d48242959a
8,"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)","₹13,499",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/e/l/-original-imah3agqmmzap5gx.jpeg?q=70,https://www.flipkart.com//samsung-galaxy-f15-5g-jazzy-green-128-gb/p/itm3202236886884?pid=MOBGYBAVKWJWSNNQ&lid=LSTMOBGYBAVKWJWSNNQQBJZHM&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=727bd346-5627-4afa-8adf-178f26fed732.MOBGYBAVKWJWSNNQ.SEARCH&ppt=None&ppn=None&ssid=ou0oh6sr680000001740158326153&qH=0258c7d48242959a
9,"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹12,499",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/b/j/-original-imah3agqepywexex.jpeg?q=70,https://www.flipkart.com//samsung-galaxy-f15-5g-groovy-violet-128-gb/p/itm3e7d6c7112d45?pid=MOBGYBAVSDFYZFNY&lid=LSTMOBGYBAVSDFYZFNY0YSXRQ&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=727bd346-5627-4afa-8adf-178f26fed732.MOBGYBAVSDFYZFNY.SEARCH&ppt=None&ppn=None&ssid=ou0oh6sr680000001740158326153&qH=0258c7d48242959a
